n,dist,rho,sk,alpha_F
250,beta,-1,1,39.077121689028814
250,beta,-1,1,38.894167269067665
250,beta,-1,1,42.30411357938324
250,beta,-1,1,43.15368194335125
250,beta,-1,1,42.501609906027646
250,beta,-1,1,46.297211289035786
250,beta,-1,1,39.62840831321829
250,beta,-1,1,43.1620158861655
250,beta,-1,1,38.948290804975564
250,beta,-1,1,45.654749510810454
250,beta,-1,1,38.631376132748244
250,beta,-1,1,43.76183769703738
250,beta,-1,1,51.92348677175385
250,beta,-1,1,42.831089716666845
250,beta,-1,1,41.204407366660185
250,beta,-1,1,32.119746749914256
250,beta,-1,1,39.992932074261915
250,beta,-1,1,40.17035123706275
250,beta,-1,1,42.01421929552634
250,beta,-1,1,41.67045609932207
250,beta,-1,1,39.507617688858254
250,beta,-1,1,38.32845872524348
250,beta,-1,1,43.79923387012087
250,beta,-1,1,45.11451193897353
250,beta,-1,1,34.41811922809088
250,beta,-1,1,47.88349390124798
250,beta,-1,1,45.47478254160712
250,beta,-1,1,38.72258306564392
250,beta,-1,1,38.63775517099146
250,beta,-1,1,39.17701873903774
250,beta,-1,1,42.70413836334812
250,beta,-1,1,39.71766156372462
250,beta,-1,1,30.187388251214927
250,beta,-1,1,44.63187263485911
250,beta,-1,1,37.32053354739635
250,beta,-1,1,45.17097848169773
250,beta,-1,1,33.60744370208072
250,beta,-1,1,53.97147302146042
250,beta,-1,1,35.04337527872614
250,beta,-1,1,42.01740136109244
250,beta,-1,1,43.47860983370929
250,beta,-1,1,28.592322687304957
250,beta,-1,1,49.412089847459875
250,beta,-1,1,43.261639695853496
250,beta,-1,1,53.22748122859196
250,beta,-1,1,38.64474563293415
250,beta,-1,1,35.677813537752336
250,beta,-1,1,49.713087342101794
250,beta,-1,1,56.237137298466656
250,beta,-1,1,40.633003954567045
250,beta,-1,1,34.8803981403963
250,beta,-1,1,55.08341978300865
250,beta,-1,1,37.1083245676743
250,beta,-1,1,38.946952366129906
250,beta,-1,1,43.80732178718221
250,beta,-1,1,44.06374126860393
250,beta,-1,1,38.322766144890885
250,beta,-1,1,49.001105394847734
250,beta,-1,1,46.21353499559243
250,beta,-1,1,38.096237006419166
250,beta,-1,1,43.229305855032514
250,beta,-1,1,38.67682747807816
250,beta,-1,1,43.63838630566303
250,beta,-1,1,43.11489018995653
250,beta,-1,1,39.62907138268171
250,beta,-1,1,35.18434941036927
250,beta,-1,1,42.10993734740646
250,beta,-1,1,35.69615775455908
250,beta,-1,1,47.07418510299175
250,beta,-1,1,31.481615393357025
250,beta,-1,1,43.75773370987787
250,beta,-1,1,44.17060760773979
250,beta,-1,1,44.439981946483876
250,beta,-1,1,48.43165686163055
250,beta,-1,1,43.48623304500105
250,beta,-1,1,41.83018955061825
250,beta,-1,1,37.96464363974496
250,beta,-1,1,31.63906544688805
250,beta,-1,1,41.10792455704354
250,beta,-1,1,50.240583710954226
250,beta,-1,1,47.63334370509561
250,beta,-1,1,39.33253155091621
250,beta,-1,1,37.803462281527175
250,beta,-1,1,49.50819068590078
250,beta,-1,1,41.53946280126301
250,beta,-1,1,37.62896919346017
250,beta,-1,1,40.97868814345087
250,beta,-1,1,39.62364804755252
250,beta,-1,1,41.77274738511239
250,beta,-1,1,46.650494938302934
250,beta,-1,1,52.03561488654149
250,beta,-1,1,58.34664500685544
250,beta,-1,1,31.008886800330316
250,beta,-1,1,49.20683897353919
250,beta,-1,1,35.50144247548765
250,beta,-1,1,43.202617095918924
250,beta,-1,1,40.52567015418692
250,beta,-1,1,36.364889670428354
250,beta,-1,1,39.141470554025446
250,beta,-1,1,38.482813375484845
250,beta,-1,1,39.628704027938795
250,beta,-1,1,36.794106612402885
250,beta,-1,1,38.081704962848434
250,beta,-1,1,31.044641822422378
250,beta,-1,1,37.183355847551496
250,beta,-1,1,47.32837481612308
250,beta,-1,1,45.30198461988527
250,beta,-1,1,39.414953013548825
250,beta,-1,1,44.76781977468096
250,beta,-1,1,51.15588602290813
250,beta,-1,1,52.468301908585225
250,beta,-1,1,49.352825507556005
250,beta,-1,1,42.575666222674386
250,beta,-1,1,43.16476672967322
250,beta,-1,1,48.31537509750578
250,beta,-1,1,37.39282118897324
250,beta,-1,1,34.14951257634961
250,beta,-1,1,54.607124582009924
250,beta,-1,1,41.28666755779017
250,beta,-1,1,37.067129038695164
250,beta,-1,1,43.4569785699333
250,beta,-1,1,55.919406902548076
250,beta,-1,1,39.40446266042994
250,beta,-1,1,53.32064776110936
250,beta,-1,1,32.311155188221704
250,beta,-1,1,32.24563206770167
250,beta,-1,1,49.81368280784159
250,beta,-1,1,45.80496254647436
250,beta,-1,1,37.01218093707709
250,beta,-1,1,44.295049054122664
250,beta,-1,1,41.84414476953366
250,beta,-1,1,38.08582711915198
250,beta,-1,1,46.50555373220972
250,beta,-1,1,44.03623678856932
250,beta,-1,1,52.092228991600216
250,beta,-1,1,36.57128139723224
250,beta,-1,1,40.89218236743234
250,beta,-1,1,44.954228571874054
250,beta,-1,1,40.06976964094955
250,beta,-1,1,52.02896319429707
250,beta,-1,1,37.79144613529936
250,beta,-1,1,40.91830795183189
250,beta,-1,1,56.453114780189175
250,beta,-1,1,55.621472956559636
250,beta,-1,1,36.48916448297767
250,beta,-1,1,48.55205815287225
250,beta,-1,1,40.70615503011079
250,beta,-1,1,42.168194070263795
250,beta,-1,1,38.576823474086346
250,beta,-1,1,48.71311579664727
250,beta,-1,1,31.285151108639436
250,beta,-1,1,49.060389281740925
250,beta,-1,1,46.07073241309252
250,beta,-1,1,42.33562522196893
250,beta,-1,1,34.07623510497427
250,beta,-1,1,32.66730572349727
250,beta,-1,1,39.80137650054692
250,beta,-1,1,37.886437929058125
250,beta,-1,1,33.85272091596614
250,beta,-1,1,43.67633185354274
250,beta,-1,1,31.16875095294938
250,beta,-1,1,37.73232154426265
250,beta,-1,1,41.10981931252522
250,beta,-1,1,39.62557973044641
250,beta,-1,1,49.07338478940275
250,beta,-1,1,58.375594677226424
250,beta,-1,1,32.2630990630899
250,beta,-1,1,35.06456629466682
250,beta,-1,1,43.88212910465252
250,beta,-1,1,44.917906053167385
250,beta,-1,1,44.97824639785803
250,beta,-1,1,57.6145249289342
250,beta,-1,1,46.584772260255576
250,beta,-1,1,37.39795816901195
250,beta,-1,1,44.663597682246206
250,beta,-1,1,35.54743859870776
250,beta,-1,1,45.44261626285972
250,beta,-1,1,41.44606913031229
250,beta,-1,1,39.3046472730332
250,beta,-1,1,35.650883974462516
250,beta,-1,1,40.31916102072172
250,beta,-1,1,46.964033960375446
250,beta,-1,1,51.94218336554941
250,beta,-1,1,40.680886474977704
250,beta,-1,1,38.707144045061014
250,beta,-1,1,46.24320687969311
250,beta,-1,1,39.52362948800872
250,beta,-1,1,39.8940351359529
250,beta,-1,1,37.012175367555706
250,beta,-1,1,42.36111744996732
250,beta,-1,1,37.0599897190555
250,beta,-1,1,44.56896996158108
250,beta,-1,1,48.638315340536394
250,beta,-1,1,46.681405099689236
250,beta,-1,1,50.017030657662396
250,beta,-1,1,42.314634477474215
250,beta,-1,1,46.55807956576134
250,beta,-1,1,38.53668462578227
250,beta,-1,1,54.253858250186035
250,beta,-1,1,45.2797094902998
250,beta,-1,1,43.16577715620764
250,beta,-1,1,38.37714135363029
250,beta,-1,1,39.25645676755473
250,beta,-1,1,47.12367957452992
250,beta,-1,1,47.539086873896714
250,beta,-1,1,39.9111540695361
250,beta,-1,1,38.25925342275387
250,beta,-1,1,40.01237651602038
250,beta,-1,1,35.46805201907968
250,beta,-1,1,41.504269992485355
250,beta,-1,1,41.91993732211654
250,beta,-1,1,33.47338912694352
250,beta,-1,1,44.74570096969922
250,beta,-1,1,44.96309454310421
250,beta,-1,1,36.78277589940915
250,beta,-1,1,48.52738108497183
250,beta,-1,1,40.05642919152912
250,beta,-1,1,38.1096669434761
250,beta,-1,1,37.824458802724344
250,beta,-1,1,44.865797060451044
250,beta,-1,1,55.56670153540008
250,beta,-1,1,44.12069304847929
250,beta,-1,1,37.047127982991796
250,beta,-1,1,45.669167115220596
250,beta,-1,1,40.33850177407428
250,beta,-1,1,47.081298503180136
250,beta,-1,1,49.35533025356389
250,beta,-1,1,44.16678858733542
250,beta,-1,1,30.9775200661629
250,beta,-1,1,35.09214370165873
250,beta,-1,1,44.74555209365519
250,beta,-1,1,40.828988120232495
250,beta,-1,1,42.40934306110959
250,beta,-1,1,35.515257822750726
250,beta,-1,1,40.87530430690043
250,beta,-1,1,42.069383430851296
250,beta,-1,1,40.625244826854264
250,beta,-1,1,58.4278626825235
250,beta,-1,1,42.70856801896566
250,beta,-1,1,35.05491732669618
250,beta,-1,1,44.19435518201449
250,beta,-1,1,42.359953352382334
250,beta,-1,1,49.24737467979961
250,beta,-1,1,44.95210047641458
250,beta,-1,1,51.87275975384966
250,beta,-1,1,41.29134110951092
250,beta,-1,1,55.17350628662601
250,beta,-1,1,44.600113999224845
