n,dist,rho,sk,alpha_F
250,normal,0,0,48.93032579754181
250,normal,0,0,54.78491773349908
250,normal,0,0,47.80658306872119
250,normal,0,0,54.92959918710026
250,normal,0,0,37.57617511129314
250,normal,0,0,47.07110169179185
250,normal,0,0,50.568065295211056
250,normal,0,0,44.81835757265833
250,normal,0,0,42.168715167391184
250,normal,0,0,49.48828165345237
250,normal,0,0,43.17292182469096
250,normal,0,0,39.2543152191805
250,normal,0,0,49.30573605685758
250,normal,0,0,44.80093210703728
250,normal,0,0,45.34290444724871
250,normal,0,0,42.719854947330056
250,normal,0,0,49.14466206553434
250,normal,0,0,42.89584016378784
250,normal,0,0,38.783036972668306
250,normal,0,0,47.68409134587857
250,normal,0,0,46.51698663473766
250,normal,0,0,39.79936889257513
250,normal,0,0,55.78651078384807
250,normal,0,0,39.370012524272035
250,normal,0,0,45.53037300051333
250,normal,0,0,45.29829309202876
250,normal,0,0,59.46228349304847
250,normal,0,0,53.239899923244614
250,normal,0,0,51.757285336497084
250,normal,0,0,47.76971935668376
250,normal,0,0,42.02984691954024
250,normal,0,0,54.75036973773087
250,normal,0,0,54.887163191020086
250,normal,0,0,56.04483210754246
250,normal,0,0,48.79073110073211
250,normal,0,0,45.52457267567605
250,normal,0,0,46.17650562296929
250,normal,0,0,47.890870929214465
250,normal,0,0,42.32938907833449
250,normal,0,0,42.48849155677854
250,normal,0,0,45.48886134375938
250,normal,0,0,39.0770541316319
250,normal,0,0,44.51348520694114
250,normal,0,0,49.21821564722801
250,normal,0,0,42.003769178096725
250,normal,0,0,40.73611694623311
250,normal,0,0,46.70419295930801
250,normal,0,0,46.2644360645802
250,normal,0,0,52.335834133751426
250,normal,0,0,43.860956562979474
250,normal,0,0,48.264494559398166
250,normal,0,0,44.493241336219825
250,normal,0,0,41.14884743307458
250,normal,0,0,54.988810258561806
250,normal,0,0,39.92093779041723
250,normal,0,0,43.0604594120035
250,normal,0,0,41.932258709656324
250,normal,0,0,40.4313684279488
250,normal,0,0,42.80818394943598
250,normal,0,0,46.00182006355412
250,normal,0,0,42.54613487728755
250,normal,0,0,42.86624840859907
250,normal,0,0,45.72306800583414
250,normal,0,0,47.46345928943486
250,normal,0,0,49.909219416756684
250,normal,0,0,42.263217914047516
250,normal,0,0,35.75213734968994
250,normal,0,0,45.82493327647055
250,normal,0,0,42.67073858908558
250,normal,0,0,41.34642645883659
250,normal,0,0,47.74909643296607
250,normal,0,0,44.717804398996776
250,normal,0,0,40.52135175875038
250,normal,0,0,50.8945925687831
250,normal,0,0,43.046833207513785
250,normal,0,0,49.006604073921835
250,normal,0,0,49.91658708099374
250,normal,0,0,48.59508068545526
250,normal,0,0,52.18061588321146
250,normal,0,0,41.87117014091068
250,normal,0,0,42.48506743058833
250,normal,0,0,48.80607547111984
250,normal,0,0,49.47138111755635
250,normal,0,0,44.24702529944172
250,normal,0,0,37.058293309211805
250,normal,0,0,47.92518082493332
250,normal,0,0,42.9024764494009
250,normal,0,0,42.97506888879289
250,normal,0,0,48.104866985749176
250,normal,0,0,42.9016339462429
250,normal,0,0,45.53302952230037
250,normal,0,0,45.8278639690682
250,normal,0,0,41.21590193633391
250,normal,0,0,47.115171050659264
250,normal,0,0,48.59329799222567
250,normal,0,0,50.16102350624411
250,normal,0,0,55.92418102232366
250,normal,0,0,47.97102364800684
250,normal,0,0,44.455524804649436
250,normal,0,0,49.409321600930106
250,normal,0,0,51.7975429507641
250,normal,0,0,42.13766886176322
250,normal,0,0,45.87669180171879
250,normal,0,0,50.63834221223707
250,normal,0,0,45.023612392630206
250,normal,0,0,51.319957204896866
250,normal,0,0,44.03198808171919
250,normal,0,0,62.34835130953783
250,normal,0,0,44.376123354583974
250,normal,0,0,52.86955129079541
250,normal,0,0,39.66291797225574
250,normal,0,0,49.300900677305215
250,normal,0,0,49.736236454028926
250,normal,0,0,42.12573122278361
250,normal,0,0,41.16845974281881
250,normal,0,0,43.88029262374855
250,normal,0,0,43.838019690580445
250,normal,0,0,48.38428873549503
250,normal,0,0,50.31178346812489
250,normal,0,0,52.97212885363587
250,normal,0,0,49.36430504012979
250,normal,0,0,45.0453257930586
250,normal,0,0,48.1286366017883
250,normal,0,0,41.79423578732811
250,normal,0,0,50.65510529210751
250,normal,0,0,40.173808283987476
250,normal,0,0,43.71276503291237
250,normal,0,0,55.0429703523079
250,normal,0,0,44.96933970038131
250,normal,0,0,40.36626180588369
250,normal,0,0,43.53007324726383
250,normal,0,0,55.48634075358628
250,normal,0,0,43.80666460149435
250,normal,0,0,50.16876278313335
250,normal,0,0,44.259785948697925
250,normal,0,0,44.44528827272926
250,normal,0,0,46.31213111864162
