n,dist,rho,sk,alpha_F
250,discrete,1,1,46.44160016243236
250,discrete,1,1,61.85329302408435
250,discrete,1,1,56.851410831386296
250,discrete,1,1,58.10505123178955
250,discrete,1,1,53.0801882013501
250,discrete,1,1,50.15136952857961
250,discrete,1,1,50.94431209354619
250,discrete,1,1,47.976275031294435
250,discrete,1,1,56.63843692574271
250,discrete,1,1,49.477019577210044
250,discrete,1,1,61.92520848406748
250,discrete,1,1,58.57987843269325
250,discrete,1,1,52.14188678305699
250,discrete,1,1,55.36602934207116
250,discrete,1,1,49.336865155525594
250,discrete,1,1,54.223648257126875
250,discrete,1,1,47.17566577540776
250,discrete,1,1,51.343802293394845
250,discrete,1,1,52.074674833403
250,discrete,1,1,50.94194514945182
250,discrete,1,1,48.35936900996004
250,discrete,1,1,53.14876652195188
250,discrete,1,1,50.21322210130844
250,discrete,1,1,56.73686638486198
250,discrete,1,1,57.066521885213255
250,discrete,1,1,50.634729911639
250,discrete,1,1,55.966846181101694
250,discrete,1,1,53.00668672510779
250,discrete,1,1,66.47961130414272
250,discrete,1,1,47.994498889483125
250,discrete,1,1,46.14511943700951
250,discrete,1,1,53.34289833396054
250,discrete,1,1,51.86004603557506
250,discrete,1,1,50.71430526184242
250,discrete,1,1,47.48238064459375
250,discrete,1,1,48.467934426394535
250,discrete,1,1,52.32734632814984
250,discrete,1,1,46.59133413669841
250,discrete,1,1,42.3596614270865
250,discrete,1,1,53.71632537920419
250,discrete,1,1,48.35766137860906
250,discrete,1,1,45.04216712415991
250,discrete,1,1,56.53169111730589
250,discrete,1,1,45.53853178461122
250,discrete,1,1,54.27239384111828
250,discrete,1,1,52.97274751678527
250,discrete,1,1,51.94108538201937
250,discrete,1,1,51.48993960969683
250,discrete,1,1,54.53961007315446
250,discrete,1,1,60.606722462669474
250,discrete,1,1,56.00640740490152
250,discrete,1,1,48.97215408861106
250,discrete,1,1,53.21834308164206
250,discrete,1,1,56.64203809296012
250,discrete,1,1,54.068566902382734
250,discrete,1,1,59.059178955374705
250,discrete,1,1,54.15032895993916
250,discrete,1,1,48.54368632932614
250,discrete,1,1,49.52318582604494
250,discrete,1,1,56.83070452398624
250,discrete,1,1,59.78715296005422
250,discrete,1,1,53.56879394451974
250,discrete,1,1,49.162429321121735
250,discrete,1,1,47.84349803474151
250,discrete,1,1,54.65110296621257
250,discrete,1,1,52.15091461397762
250,discrete,1,1,57.857086632979836
250,discrete,1,1,58.15308999501032
250,discrete,1,1,46.21113506051897
250,discrete,1,1,57.160831494302506
250,discrete,1,1,48.49450186033369
250,discrete,1,1,53.36961873697088
250,discrete,1,1,53.021293617902906
250,discrete,1,1,47.80196178283647
250,discrete,1,1,41.803778884606324
250,discrete,1,1,46.60719261658054
250,discrete,1,1,52.270389401828574
250,discrete,1,1,49.680407465703894
250,discrete,1,1,54.86733428241545
250,discrete,1,1,48.56993839387391
250,discrete,1,1,49.38023902245036
250,discrete,1,1,51.308462366431485
250,discrete,1,1,54.501262468919805
250,discrete,1,1,46.813569937115005
250,discrete,1,1,51.72044498347522
250,discrete,1,1,48.848531098188204
250,discrete,1,1,53.870597332519694
250,discrete,1,1,46.90578594817672
250,discrete,1,1,58.80377049186105
250,discrete,1,1,53.10124871318079
250,discrete,1,1,52.861819001000505
250,discrete,1,1,52.90387555272949
250,discrete,1,1,53.423240098075524
250,discrete,1,1,53.40606806322693
250,discrete,1,1,60.53983918551044
250,discrete,1,1,48.35459448664689
250,discrete,1,1,68.45591300994504
250,discrete,1,1,52.293354616531914
250,discrete,1,1,48.10022917444124
250,discrete,1,1,48.31880718120444
250,discrete,1,1,54.11639691165086
250,discrete,1,1,60.28192528664014
250,discrete,1,1,52.43941859262054
250,discrete,1,1,49.41534076118316
250,discrete,1,1,51.220527890228404
250,discrete,1,1,47.873718260919944
250,discrete,1,1,45.045321721344784
250,discrete,1,1,61.470988158779534
250,discrete,1,1,46.94160212593016
250,discrete,1,1,52.822298685008995
250,discrete,1,1,49.00971647181178
250,discrete,1,1,51.62923568929288
250,discrete,1,1,59.91876381404163
250,discrete,1,1,50.84017358271138
250,discrete,1,1,55.70396658591424
250,discrete,1,1,53.15996071231953
250,discrete,1,1,58.025137523471074
250,discrete,1,1,51.835945882814315
250,discrete,1,1,48.12631164664278
250,discrete,1,1,52.222894134739725
250,discrete,1,1,65.62056272155569
250,discrete,1,1,50.26260326241388
250,discrete,1,1,49.65522065406367
250,discrete,1,1,54.54904208138683
250,discrete,1,1,46.006362064125106
250,discrete,1,1,54.69327685307831
250,discrete,1,1,51.30260749282077
250,discrete,1,1,56.84751123826605
250,discrete,1,1,52.106448692657544
250,discrete,1,1,50.823212627422116
250,discrete,1,1,55.40768190331633
250,discrete,1,1,46.1706044400337
250,discrete,1,1,51.00011908829464
250,discrete,1,1,67.36585353285312
250,discrete,1,1,56.111480605083635
250,discrete,1,1,65.70829239014365
250,discrete,1,1,68.67175373504524
250,discrete,1,1,51.841937726814194
250,discrete,1,1,68.31621535450799
250,discrete,1,1,55.62714709654287
250,discrete,1,1,57.66370714495753
250,discrete,1,1,55.08231126448798
250,discrete,1,1,47.98827919590103
250,discrete,1,1,52.262987947651546
250,discrete,1,1,53.81655872989428
250,discrete,1,1,53.322030992614636
250,discrete,1,1,52.33428115851195
250,discrete,1,1,58.617798696938564
250,discrete,1,1,54.91482328604801
250,discrete,1,1,52.86939545511599
250,discrete,1,1,49.924073023710186
250,discrete,1,1,44.25333433241245
250,discrete,1,1,55.896961237772906
250,discrete,1,1,54.24662960742713
250,discrete,1,1,45.68967386455087
250,discrete,1,1,44.65754621030859
250,discrete,1,1,64.15546858110653
250,discrete,1,1,50.29894233298624
250,discrete,1,1,43.53629048454822
250,discrete,1,1,61.64996018729346
250,discrete,1,1,51.78749868268066
250,discrete,1,1,62.608648709255306
250,discrete,1,1,50.65795602151623
250,discrete,1,1,57.14256228918733
250,discrete,1,1,50.849357175060305
250,discrete,1,1,55.11369262066024
